Index,Model,Calib,Variant,H,Q,AUC,PR_AUC,Recall@FPR,Brier,ECE,EventRate_Test,N_Test,RUN
SP500,Logistic,uncal,MKT,5,0.85,0.884242578,0.627792823,0.891428571,0.120781277,0.165496691,0.134511914,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,MKT,5,0.85,0.884242578,0.627792823,0.891428571,0.101988988,0.128708854,0.134511914,1301,FILTER_ON
SP500,Logistic,uncal,CNT,5,0.85,0.886297894,0.622251699,0.822857143,0.107963397,0.134887971,0.134511914,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,CNT,5,0.85,0.886297894,0.622251699,0.822857143,0.099517511,0.118723934,0.134511914,1301,FILTER_ON
SP500,Logistic,uncal,MEAN,5,0.85,0.885805633,0.627496389,0.88,0.10915499,0.138564162,0.134511914,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,MEAN,5,0.85,0.885805633,0.627496389,0.88,0.095393896,0.111490788,0.134511914,1301,FILTER_ON
SP500,Logistic,uncal,MAX,5,0.85,0.887510784,0.624608893,0.857142857,0.108518634,0.135054881,0.134511914,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,MAX,5,0.85,0.887510784,0.624608893,0.857142857,0.092981392,0.103307571,0.134511914,1301,FILTER_ON
SP500,Logistic,uncal,P90,5,0.85,0.887267191,0.626140281,0.874285714,0.108501921,0.136180322,0.134511914,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,P90,5,0.85,0.887267191,0.626140281,0.874285714,0.093395093,0.105500331,0.134511914,1301,FILTER_ON
SP500,LightGBM,uncal,MKT,5,0.85,0.839175336,0.51661035,0.765714286,0.104055932,0.08594114,0.134511914,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,MKT,5,0.85,0.839175336,0.51661035,0.765714286,0.094766409,0.076015373,0.134511914,1301,FILTER_ON
SP500,LightGBM,uncal,CNT,5,0.85,0.854199442,0.561854744,0.725714286,0.098495711,0.088922437,0.134511914,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,CNT,5,0.85,0.854199442,0.561854744,0.725714286,0.084474934,0.043266068,0.134511914,1301,FILTER_ON
SP500,LightGBM,uncal,MEAN,5,0.85,0.845962954,0.579273609,0.76,0.091830887,0.078228552,0.134511914,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,MEAN,5,0.85,0.845962954,0.579273609,0.76,0.085019784,0.049868984,0.134511914,1301,FILTER_ON
SP500,LightGBM,uncal,MAX,5,0.85,0.844635879,0.52898718,0.771428571,0.096875153,0.084902745,0.134511914,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,MAX,5,0.85,0.844635879,0.52898718,0.771428571,0.086768503,0.041524098,0.134511914,1301,FILTER_ON
SP500,LightGBM,uncal,P90,5,0.85,0.854767825,0.591978016,0.782857143,0.089388796,0.077228559,0.134511914,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,P90,5,0.85,0.854767825,0.591978016,0.782857143,0.08432378,0.058655191,0.134511914,1301,FILTER_ON
SP500,HAR(OLS_score),NA,HAR,5,0.85,0.823024613,0.563829565,,,,0.134511914,1301,FILTER_ON
NASDAQ,Logistic,uncal,MKT,5,0.85,0.871188938,0.684268171,0.83032491,0.127071089,0.121601054,0.212913144,1301,FILTER_ON
NASDAQ,Logistic,cal_sigmoid,MKT,5,0.85,0.871188938,0.684268171,0.83032491,0.125921373,0.112892276,0.212913144,1301,FILTER_ON
NASDAQ,Logistic,uncal,CNT,5,0.85,0.866542334,0.688501494,0.848375451,0.136146135,0.147155177,0.212913144,1301,FILTER_ON
NASDAQ,Logistic,cal_sigmoid,CNT,5,0.85,0.866542334,0.688501494,0.848375451,0.132890128,0.133868988,0.212913144,1301,FILTER_ON
