Index,Model,Calib,Compare,DELTA_AUC,CI_AUC_LO,CI_AUC_HI,DELTA_PRAUC,CI_PRAUC_LO,CI_PRAUC_HI,H,Q,N_Test,RUN
SP500,Logistic,uncal,CNT-MKT,0.001304237503171768,-0.0007030959624660271,0.004101603486675809,-0.0019063290717452608,-0.006067891689812918,0.0013604618451996864,5,0.85,1301,FILTER_OFF
SP500,Logistic,uncal,MEAN-MKT,0.00022329358030959146,-0.0021896999775981914,0.002498324998599924,0.0037776329738646863,-0.0018712428540350154,0.008902240290522855,5,0.85,1301,FILTER_OFF
SP500,Logistic,uncal,MAX-MKT,0.0024663790916010786,-0.0009212386045173937,0.006376904428645252,0.0017785895352008252,-0.00551732920072335,0.008009741045743332,5,0.85,1301,FILTER_OFF
SP500,Logistic,uncal,P90-MKT,0.0022024866785078645,-0.0016705004478333783,0.006177027064742971,0.002482137711941612,-0.005137660533112642,0.009121347746878108,5,0.85,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,CNT-MKT,0.001304237503171768,-0.0007030959624660271,0.004101603486675809,-0.0019063290717452608,-0.006067891689812918,0.0013604618451996864,5,0.85,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,MEAN-MKT,0.00022329358030959146,-0.0021896999775981914,0.002498324998599924,0.0037776329738646863,-0.0018712428540350154,0.008902240290522855,5,0.85,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,MAX-MKT,0.0024663790916010786,-0.0009212386045173937,0.006376904428645252,0.0017785895352008252,-0.00551732920072335,0.008009741045743332,5,0.85,1301,FILTER_OFF
SP500,Logistic,cal_sigmoid,P90-MKT,0.0022024866785078645,-0.0016705004478333783,0.006177027064742971,0.002482137711941612,-0.005137660533112642,0.009121347746878108,5,0.85,1301,FILTER_OFF
SP500,LightGBM,uncal,CNT-MKT,-0.006173560010149903,-0.03029852122714853,0.016240240199088762,0.026455294024909648,-0.015332863569314502,0.07944664641020568,5,0.85,1301,FILTER_OFF
SP500,LightGBM,uncal,MEAN-MKT,0.005001268713524354,-0.016717152994872083,0.025762246020288957,0.052236200739632976,0.003952718201399613,0.11138493507086683,5,0.85,1301,FILTER_OFF
SP500,LightGBM,uncal,MAX-MKT,0.002420705404719503,-0.021936817772495905,0.022652176413235203,0.025099451055953126,-0.035483996523846595,0.10591390074250595,5,0.85,1301,FILTER_OFF
SP500,LightGBM,uncal,P90-MKT,0.00784826186247134,-0.014933014598618776,0.028647485267897798,0.054770059938038074,-0.007552184607861371,0.1404772864081627,5,0.85,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,CNT-MKT,-0.006173560010149903,-0.03029852122714853,0.016240240199088762,0.026455294024909648,-0.015332863569314502,0.07944664641020568,5,0.85,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,MEAN-MKT,0.005001268713524354,-0.016717152994872083,0.025762246020288957,0.052236200739632976,0.003952718201399613,0.11138493507086683,5,0.85,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,MAX-MKT,0.002420705404719503,-0.021936817772495905,0.022652176413235203,0.025099451055953126,-0.035483996523846595,0.10591390074250595,5,0.85,1301,FILTER_OFF
SP500,LightGBM,cal_sigmoid,P90-MKT,0.00784826186247134,-0.014933014598618776,0.028647485267897798,0.054770059938038074,-0.007552184607861371,0.1404772864081627,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,uncal,CNT-MKT,-0.0037123476985558845,-0.010711671707660953,0.001367180413969992,0.0039143756863360135,-0.004420824637491871,0.013549981258128506,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,uncal,MEAN-MKT,-0.0037863831227437084,-0.01132215212970841,0.0016083821270660784,0.00560996772423028,-0.004798224052752417,0.01803092924989254,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,uncal,MAX-MKT,-0.0012480257220215396,-0.008226495306753689,0.0038752546066584395,0.00627660213867598,-0.0022803021256028702,0.014646806811230217,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,uncal,P90-MKT,-0.0030001974277977794,-0.010294003633839357,0.002461841734773769,0.00659708702112316,-0.004803796797082513,0.01904430082039255,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,CNT-MKT,-0.0037123476985558845,-0.010711671707660953,0.001367180413969992,0.0039143756863360135,-0.004420824637491871,0.013549981258128506,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,MEAN-MKT,-0.0037863831227437084,-0.01132215212970841,0.0016083821270660784,0.00560996772423028,-0.004798224052752417,0.01803092924989254,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,MAX-MKT,-0.0012480257220215396,-0.008226495306753689,0.0038752546066584395,0.00627660213867598,-0.0022803021256028702,0.014646806811230217,5,0.85,1301,FILTER_OFF
NASDAQ,Logistic,cal_sigmoid,P90-MKT,-0.0030001974277977794,-0.010294003633839357,0.002461841734773769,0.00659708702112316,-0.004803796797082513,0.01904430082039255,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,CNT-MKT,-0.010391400609205959,-0.02456918261336374,0.0027356318662882916,-0.02375065332930293,-0.06349170464714995,0.01135739555215459,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,MEAN-MKT,-0.009088729693140896,-0.02514721906561465,0.005368650817567115,0.012588773135410736,-0.027710399585303084,0.045052200845441086,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,MAX-MKT,-0.011820989395306958,-0.03139394044637839,0.004556328072772737,0.004909149323203188,-0.03055705090662825,0.03375593938516802,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,uncal,P90-MKT,-0.03304095216606506,-0.05884284097476244,-0.011686498003872201,-0.002711042499713101,-0.04682542226761833,0.03393650045167021,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,CNT-MKT,-0.010391400609205959,-0.02456918261336374,0.0027356318662882916,-0.02375065332930293,-0.06349170464714995,0.01135739555215459,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,MEAN-MKT,-0.009088729693140896,-0.02514721906561465,0.005368650817567115,0.012588773135410736,-0.027710399585303084,0.045052200845441086,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,MAX-MKT,-0.011820989395306958,-0.03139394044637839,0.004556328072772737,0.004909149323203188,-0.03055705090662825,0.03375593938516802,5,0.85,1301,FILTER_OFF
NASDAQ,LightGBM,cal_sigmoid,P90-MKT,-0.03304095216606506,-0.05884284097476244,-0.011686498003872201,-0.002711042499713101,-0.04682542226761833,0.03393650045167021,5,0.85,1301,FILTER_OFF
