Index,Model,Calib,Compare,DELTA_AUC,CI_AUC_LO,CI_AUC_HI,DELTA_PRAUC,CI_PRAUC_LO,CI_PRAUC_HI,H,Q,N_Test,RUN
SP500,Logistic,uncal,CNT-MKT,0.0020553159096676765,-0.002062880545076731,0.0080219766152111,-0.005541123318526631,-0.016410520698654636,0.0022538230842919717,5,0.85,1301,FILTER_ON
SP500,Logistic,uncal,MEAN-MKT,0.0015630550621668071,-0.0020920255041311175,0.0057921816350373695,-0.00029643412859281515,-0.011300215915725175,0.008816802200553227,5,0.85,1301,FILTER_ON
SP500,Logistic,uncal,MAX-MKT,0.0032682060390762935,-0.0018269708966828335,0.01009121974786224,-0.0031839300558607064,-0.019273193502978507,0.008404579728386829,5,0.85,1301,FILTER_ON
SP500,Logistic,uncal,P90-MKT,0.0030246130423751127,-0.001676496776304348,0.00905135757422199,-0.001652541441374611,-0.015523275450562687,0.008577628168143548,5,0.85,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,CNT-MKT,0.0020553159096676765,-0.002062880545076731,0.0080219766152111,-0.005541123318526631,-0.016410520698654636,0.0022538230842919717,5,0.85,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,MEAN-MKT,0.0015630550621668071,-0.0020920255041311175,0.0057921816350373695,-0.00029643412859281515,-0.011300215915725175,0.008816802200553227,5,0.85,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,MAX-MKT,0.0032682060390762935,-0.0018269708966828335,0.01009121974786224,-0.0031839300558607064,-0.019273193502978507,0.008404579728386829,5,0.85,1301,FILTER_ON
SP500,Logistic,cal_sigmoid,P90-MKT,0.0030246130423751127,-0.001676496776304348,0.00905135757422199,-0.001652541441374611,-0.015523275450562687,0.008577628168143548,5,0.85,1301,FILTER_ON
SP500,LightGBM,uncal,CNT-MKT,0.015024105556965095,-0.0025926345246571215,0.036046881627663965,0.04524439433023564,0.0014384710475073964,0.08414887574242413,5,0.85,1301,FILTER_ON
SP500,LightGBM,uncal,MEAN-MKT,0.0067876173560008635,-0.013098283487169984,0.025277382390260117,0.06266325966663,0.017443440906421963,0.11474092701582289,5,0.85,1301,FILTER_ON
SP500,LightGBM,uncal,MAX-MKT,0.005460543009388363,-0.013629121221842521,0.025164845003028184,0.012376830172003972,-0.038577496888740515,0.07420519030636641,5,0.85,1301,FILTER_ON
SP500,LightGBM,uncal,P90-MKT,0.015592489215934924,-0.0009905373574066287,0.03380434999875943,0.07536766647432336,0.020083625997722468,0.1343648845621663,5,0.85,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,CNT-MKT,0.015024105556965095,-0.0025926345246571215,0.036046881627663965,0.04524439433023564,0.0014384710475073964,0.08414887574242413,5,0.85,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,MEAN-MKT,0.0067876173560008635,-0.013098283487169984,0.025277382390260117,0.06266325966663,0.017443440906421963,0.11474092701582289,5,0.85,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,MAX-MKT,0.005460543009388363,-0.013629121221842521,0.025164845003028184,0.012376830172003972,-0.038577496888740515,0.07420519030636641,5,0.85,1301,FILTER_ON
SP500,LightGBM,cal_sigmoid,P90-MKT,0.015592489215934924,-0.0009905373574066287,0.03380434999875943,0.07536766647432336,0.020083625997722468,0.1343648845621663,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,uncal,CNT-MKT,-0.004646604241877128,-0.010988981448760541,0.00018841318420432233,0.004233322634991432,-0.005274919978146119,0.015210958544641951,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,uncal,MEAN-MKT,-0.012092452617328386,-0.023785828206880747,-0.002979340030652178,0.0021191852471798,-0.018529337447052145,0.024673471841387417,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,uncal,MAX-MKT,-0.008499971796028571,-0.01764076895677412,-0.0012810395840863165,0.0026130010362852563,-0.014139689968431152,0.01958699166470656,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,uncal,P90-MKT,-0.010756289485559511,-0.021256388532933983,-0.0027280776058299216,0.002399417942904658,-0.01683289543130681,0.02196124858373069,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,cal_sigmoid,CNT-MKT,-0.004646604241877128,-0.010988981448760541,0.00018841318420432233,0.004233322634991432,-0.005274919978146119,0.015210958544641951,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,cal_sigmoid,MEAN-MKT,-0.012092452617328386,-0.023785828206880747,-0.002979340030652178,0.0021191852471798,-0.018529337447052145,0.024673471841387417,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,cal_sigmoid,MAX-MKT,-0.008499971796028571,-0.01764076895677412,-0.0012810395840863165,0.0026130010362852563,-0.014139689968431152,0.01958699166470656,5,0.85,1301,FILTER_ON
NASDAQ,Logistic,cal_sigmoid,P90-MKT,-0.010756289485559511,-0.021256388532933983,-0.0027280776058299216,0.002399417942904658,-0.01683289543130681,0.02196124858373069,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,uncal,CNT-MKT,-0.0036859064756318283,-0.02125547941112237,0.012862835198625475,-0.005037491850835241,-0.0405287658015491,0.029196634891974577,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,uncal,MEAN-MKT,-0.019287990749097483,-0.03902903272168434,-0.004104651840396947,-0.014207012950220643,-0.05102072309601933,0.018182081942152893,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,uncal,MAX-MKT,-0.021537257445848557,-0.04215200207138033,-0.002749917172237854,-0.01964468789390139,-0.06486470133811924,0.018311408019492107,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,uncal,P90-MKT,-0.02300033844765359,-0.04605774314493141,-0.004802484715585939,-0.007462428130475707,-0.05041250332421733,0.023411938676171383,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,cal_sigmoid,CNT-MKT,-0.0036859064756318283,-0.02125547941112237,0.012862835198625475,-0.005037491850835241,-0.0405287658015491,0.029196634891974577,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,cal_sigmoid,MEAN-MKT,-0.019287990749097483,-0.03902903272168434,-0.004104651840396947,-0.014207012950220643,-0.05102072309601933,0.018182081942152893,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,cal_sigmoid,MAX-MKT,-0.021537257445848557,-0.04215200207138033,-0.002749917172237854,-0.01964468789390139,-0.06486470133811924,0.018311408019492107,5,0.85,1301,FILTER_ON
NASDAQ,LightGBM,cal_sigmoid,P90-MKT,-0.02300033844765359,-0.04605774314493141,-0.004802484715585939,-0.007462428130475707,-0.05041250332421733,0.023411938676171383,5,0.85,1301,FILTER_ON
